Naziv,Adresa,Mjesto,ePosta,Telefon,Zupanija,PostanskiBroj
Dječji vrtić BAJKA,Drinskih mučenica 10,Split,ivanka.nincevic@gmail.com,021/374-752,Splitsko-dalmatinska županija ,21000
Program predškolskog odgoja pri Centru za odgoj i obrazovanje Krapinske Toplice,Ljudevita Gaja 2,Krapinske Toplice,ured@centar-krapinske-toplice-kr.skole.hr,049 500 667,Krapinsko-zagorska županija ,49217
"Društvo sportske rekreacije ""Od malih nogu""",Remetska cesta 7b,Zagreb,info@odmalihnogu.hr,0994097799,Grad Zagreb,10000
GLAZBAONICA LJUBAV jdoo,Mogilska 28,Zagreb,info@glazbaonicaljubav.com,095/8916124,Grad Zagreb,10000
Košarkaški klub Črnomerec,Baruna Filipovića 15,Zagreb,info@kk-crnomerec.hr,091/4954034,Grad Zagreb,10000
"Društvo sportske rekreacije ""Sport i igra""",Nova Ves 11,Zagreb,tamara@educarena.com,098233083,Grad Zagreb,10000
"Dječji vrtić ""Heidi""",Drinska 41,Osijek,heidi1977@gmail.com,031/271-350,Osječko-baranjska županija ,31000
Predškolski program pri OŠ Dragutina Lermana-Brestovac,Požeška 45,Brestovac,ured@os-dlermana-brestovac.skole.hr,034 241 004;  mob:099 241 0040,Požeško-slavonska županija ,34000
Dječji vrtić KOCKICA,Pristav 121,Kršan,kockica.krsan@gmail.com,052 383 241,Istarska županija ,52232
"PLESNI STUDIO ""SAMSAMI""",Dalmatinska15,Zagreb,samsa.zg@gmail.com,01 4848 735 ; 098 205 153 ,Grad Zagreb,10000
SPORTSKO DRUŠTVO REKREACIJE ROLICA,Dragutina Golika 34,Zagreb,rolicasanja@gmail.com,0958136014,Grad Zagreb,10000
"Dječji vrtić ""HIŽICA""",Vlatka Mačeka 22,Čakovec,sanja.posedi@gmail.com,098 988 3709,Međimurska županija ,40000
"Dječji vrtić ""LEPTIRIĆ""",Zagrebačka 22 A,Ljubešćica,dv-leptiric@ljubescica.hr,042 623 829,Varaždinska županija ,42220
"Dječji vrtić ""POTJEH""",Moslavačka 42,Slavonski Brod,dvpotjeh@gmail.com,0358901435,Brodsko-posavska županija ,35000
"Dječji vrtić""VESELA LOPTICA""",Ulica Dragutina Antoleka Orešeka 2a,Prelog,loptica@vrtic.loptica.eu,091 4932 842,Međimurska županija ,40323
Dječji vrtić Lastavica,Ulica Svetog Roka 64,Osijek,lastavica.osijek@gmail.com,091 792 8432,Osječko-baranjska županija ,31000
"Dječji vrtić ""Ježić""",Varaždinska ulica 33,Črešnjevo,dvjezic@gmail.com,042 731 385 ; 099 8351 266,Varaždinska županija ,42204
Udruga LITTERA Centar za neuroedukaciju i razvoj,Šmidhenova 20,Samobor,info@littera.hr,01 33 63 170  ; 091 33 63 170,Zagrebačka županija ,10430
Dječji vrtić Škrinjica,Radoboj 48/A,Radoboj,skrinjica.radoboj@gmail.com,049/ 490 321,Krapinsko-zagorska županija ,49232
Dječji vrtić Dječji grad,Maksa Puša 1,Samobor,andrea.batarilo@dv-djecjigrad.com; andrea.batarilo@kindergarten.hr,091 1638 420,Zagrebačka županija ,10430
Dječji vrtić Mudre glavice,Ivana Lackovića Croate 13,Odra,dvmudreglavice@yahoo.com,01 5811 100; 091 1910 993,Grad Zagreb,10020
"Sportsko rekreativna udruga ""Sport za tebe""",Kutinska 4,Zagreb,outdoor@sport4you.hr ; mhorvat@skipper4you.com,098 160 8624 ; 091 1313 490  ,Grad Zagreb,10000
"Dječji vrtić ""Čarolija""",Bikovec 91,Maruševec,carolija@dvcarolija.hr,042 625 768 ;098 546 299,Varaždinska županija ,42243
Dječji vrtić Malo drvo,Anina 2,Varaždin,malodrvo.vrtic@gmail.com,042 440 649,Varaždinska županija ,42000
Poseban program predškolskog odgoja za djecu s teškoćama pri V. osnovnoj školi Bjelovar,Šetalište dr. Ivše Lebovića 1,Bjelovar,skola@os-peta-bj.skole.hr,043/242-645,Bjelovarsko-bilogorska županija ,43000
"Dječji vrtić ""Kalnički jaglac""",Trg Stjepana Radića 9,Kalnik,ravnatelj@kalnicki-jaglac.com.hr,048857012,Koprivničko-križevačka županija ,48267
Društvo sportske rekreacije Svijet sporta,Jurja ves 38,Zagreb,svijetsporta@svijetsporta.hr,095/9061-137,Grad Zagreb,10000
Dječji vrtić Sušak,Braće Stipčić 32,Rijeka,ravnateljica.susak@rivrtici.hr,051/499 021,Primorsko-goranska županija ,51000
Dječji vrtić More,Marohnićeva 12,Rijeka,jasna.crncic@rivrtici.hr,051/431 875; 051/554 977; ,Primorsko-goranska županija ,51000
Dječji vrtić Svetog Nikole,Braće Radića 129,Belica,dv-svetinikola@biskupija-varazdinska.hr,097/6242558,Međimurska županija ,40000
Program predškole pri OŠ Lipovac u Lipovcu,Cvjetno naselje 8,Lipovac,ured@os-lipovac.skole.hr,032/ 270 060,Vukovarsko-srijemska  županija ,32245
"Udruga za sport i rekreaciju ""Balonko""",Višnje Stahuljak 7,Zagreb,balonko.sport@gmail.com,098/9625 329,Grad Zagreb,10000
"Društvo sportske rekreacije ""Pandice""",Božidara Magovca 47,Zagreb,info@sportskepandice.hr,01/8889856  Ludvik Leutar,Grad Zagreb,10000
Kreativna udruga Boje zvuka,Fallerovo šetalište 35,Zagreb,marija.cikara@gmail.com,091/798 04 79,Grad Zagreb,10000
"Društvo sportske rekreacije ""SUPERKID""","Drežnik III. odvojak 21, ",Hudi Bitek,info@superkid.hr,0995176644,Grad Zagreb,10257
Program predškolskog odgoja pri Osnovnoj školi Jasenovac,Trg Petra Svačića 6,Jasenovac,os-jasenovac@os-jasenovac.skole.hr,044/672 096,Sisačko-moslavačka županija ,44324
Dječji vrtić „Morski konjić“ – Scuola materna „Cavalluccio marino“,Brajde 31A       ,Tar, info@dvmorskikonjic.hr,052/894-5934,Istarska županija ,52465
Program predškolskog odgoja pri Osnovnoj školi Ivo Kozarčanin Hrvatska Dubca,Park žrtava Domovinskog rata 1,Hrvatska Dubica,ured@os-ikozarcanin-hrvatskadubica.skole.hr,"44 525 540, 525 541",Sisačko-moslavačka županija ,44450
Dječji vrtić PČELICA Bisag,Bisag 24,Bisag,vrtic@breznica.hr,042/709-018,Varaždinska županija ,42225
Dječji vrtić Suncokret,Josipa Horvata Zdelara 2a,Strahoninec,info@dvsuncokret.hr,040/333-442,Međimurska županija ,40000
"Tjelovježbeno društvo ""GIMGO""",Pavla Sokolića 17,Zagreb,gimgokids@gmail.com,091/518 3327,Grad Zagreb,10000
Atletski klub „Kvarner“ Rijeka,Portić 1,Rijeka,akkvarner@akkvarner.hr,051/261-110,Primorsko-goranska županija ,51000
TKD Invictus,Belinin put 13,Zagreb,invictus.zg@gmail.com,0981641729,Grad Zagreb,10000
Dječji vrtić Planet mašte,Dragutina Tadijanovića 1,Rijeka,info@planetmaste.com; sanja.mrgansimic@gmail.com,051/246-726,Primorsko-goranska županija ,51000
"Dječji vrtić ""Snježna pahulja""",Donje selo 29a,Fužine,dv.snjezna.pahulja@gmail.com,0916137846,Primorsko-goranska županija ,51322
"Dječji vrtić ""Mali medo""",Dr. Franje Tuđmana 15,Lovinac,vrtic@lovinac.hr,053667290,Ličko-senjska županija ,53244
Program predškole pri Osnovnoj školi Podturen,Čakovečka 5,Podturen,ured@os-podturen.skole.hr,040/847 470; 040/847 477,Međimurska županija ,40000
Program predškolskog odgoja pri Centru za autizam Osijek,Vinkovačka 3,Osijek,ured@centar-autizam-os.skole.hr,031/201 850,Osječko-baranjska županija ,31000
Obrt za usluge MALA GLAZBENA ŠKOLICA - TON,Harina Zlaka 5,Zagorska Sela,ton.skolica@gmail.com,098/169 75 03,Krapinsko-zagorska županija ,49296
Športska udruga HDL KAMELEON,Savska opatovina 123,Zagreb,hdl.kameleon@gmail.com,098 489 384         ,Grad Zagreb,10000
SPORTSKO DRUŠTVO KU-KU-RI-KU,HUM ZABOČKI 29a,Hum Zabočki,mislav.kukuriku@gmail.com,099 678 6686        ,Krapinsko-zagorska županija ,49210
Dječji vrtić Bambi Rokovci-Andrijaševci,Matije Gupca 8,Andrijaševci,bambi@andrijasevci.hr,032 372 504,Vukovarsko-srijemska  županija ,32271
"Program predškolskog odgoja pri OŠ Josipdol, Područna škola „Lucija Capan“  ",Zdenac 45,Tounj,ured@os-josipdol.skole.hr ,"047/563-106 (PŠ Tounj), 095/22",Karlovačka županija ,47300
Dječji vrtić Videk,Pavla Beluhana  2a,Prigorje Brdovečko,info@dv-videk.hr,014008069,Zagrebačka županija ,10291
"Program predškolskog odgoja pri Centru za odgoj, obrazovanje i rehabilitaciju Virovitica",Nikole Tesle 4,Virovitica,tajnistvo@coorvirovitica.hr,033721854,Virovitičko-podravska županija ,33000
Udruga za poticanje ranog učenja stranih jezika i glazbe ULICA ZNANJA ,Josipa Jelačića 155,Samobor,ulica.znanja@gmail.com,0981776094,Zagrebačka županija ,10430
HRVATSKI NOGOMETNI KLUB GORICA,Hrvatske bratske zajednice 80 ,Velika Gorica,info@hnk-gorica.hr ,"01 6265 152,  098 230 260,  Ne",Zagrebačka županija ,10410
Muški rukometni klub Metalac,Slovenska 29,Zagreb,info@rukometalac.com,099/3707875             ,Grad Zagreb,10000
DJEČJI VRTIĆ BUBAMARA GORNJE BAZJE,GORNJE 131A,Gornje Bazje,dv-bubamara@opcina-lukac.hr, 033/551-041,Virovitičko-podravska županija ,33406
Sportsko rekreativno društvo Feniks sportaš,Nehajska ulica 67,Zagreb,goran.skoric666@gmail.com,099 66 88 666           ,Grad Zagreb,10000
"Dječji vrtić ""Ježeva kućica - Beretinec""",Trg hrvatskih branitelja 1,Beretinec,dvjezevakucica@gmail.com,042 550-442,Varaždinska županija ,42204
"Dječji vrtić ""Prugi i prijatelji""",Bana Josipa Jelačića 22h,Čakovec,prugi@simva.hr; simon.ana27@gmail.com,098 1745 138,Međimurska županija ,40000
"Judo klub ""Lika""",Trg žrtava fašizma 3,Zagreb,judo.klub.lika@zg.t-com.hr,01 6601148,Grad Zagreb,10000
Društvo PLANET ZNANJA,Velikopoljska 9F,Veliko Polje,planet.znanja.hr@gmail.com,"099 301 3004, 099 3399 837",Grad Zagreb,10010
Ustanova Upravljanje sportskim objektima,Trg Krešimira Ćosića 11,Zagreb,uso.marketing@sportskiobjekti.hr,01/6421-014,Grad Zagreb,10000
"Udruga ""SPORTSKA ŠKOLA DINAMO""",Slavka Batušića 29,Zagreb,sportskaskoladinamo@gmail.com,"0923781274, 0922354868",Grad Zagreb,10000
Dječji vrtić Vrhovine,Senjska 60,Vrhovine, info-vrtic@vrhovine.hr,053/333-345,Ličko-senjska županija ,53223
Dječji vrtić Vlakić Martijanec,Školska ulica 3B,Martijanec,djecji.vrtic.vlakic.martijanec@vz.ht.hr,042/351-846 ,Varaždinska županija ,42230
"DJEČJI VRTIĆ ""POTOČIĆ"" BELAJSKE POLJICE",BELAJSKE POLJICE 105B,Barilović,vrtic.bel.poljice@gmail.com,"047/742-310, 098/91-29355",Karlovačka županija ,47252
"Dječji vrtić ""Ogledalce""",Školska 4,Ernestinovo,ravnateljica.dv.ogledalce@gmail.com,031/ 216-332,Osječko-baranjska županija ,31216
"Program predškolskog odgoja pri Osnovnoj školi Ivan Goran Kovačić Duga Resa, Područna škola Bosiljevo",Ulica bana Josipa Jelačića 8,Duga Resa,ured@os-igkovacic-dugaresa.skole.hr,,Karlovačka županija ,47250
Dječji vrtić Petar Pan Satnica Đakovačka,Ante Starčevića 26,Satnica Đakovačka,dvpetarpan.satnicadjakovacka@gmail.com,031/852 122,Osječko-baranjska županija ,31400
"Dječji vrtić ""Sibinj""",Trg kralja Tomislava 7,Sibinj,vrtic.sibinj@gmail.com,035/438-095,Brodsko-posavska županija ,35252
"Dječji vrtić ""Čarobna šuma"" Špišić Bukovica",Vinogradska 6,Špišić Bukovica,dvcarobnasumaspb@gmail.com,033/898 7465,Virovitičko-podravska županija ,33404
"Dječji vrtić ""Latica Garčin""",Put Surevice 4,Garčin,latica.garcin@gmail.com,"035/ 351 - 877, 099/ 499-9935",Brodsko-posavska županija ,35212
Dječji vrtić Vinica,Ulica Josipa Dumbovića 3,Marčan,vrticvinica@gmail.com,042/ 722-233,Varaždinska županija ,42207
"Dječji vrtić ""Bambi"" Kaptol",Češka ulica 8,Kaptol,vrtic@opcina-kaptol.com,034/231 592,Požeško-slavonska županija ,34334
Dječji vrtić LIŠNJAK,Pićan 60,Pićan, lisnjak@pican.hr,"099/4947905, 098/305631     ",Istarska županija ,52332
Dječji vrtić „Jurovska pčelica“,Ivana Gorana Kovačića 111/a,Lopatinec,dv.jpcelica@gmail.com,"040/337-028, 099 500 3259 ",Međimurska županija ,40000
Dječji vrtić Sovice,Gornji Mihaljevec 74,Gornji Mihaljevec,dv.sovice@gmail.com," 040/679-091, 099/3800563",Međimurska županija ,40000
"Dječji vrtić ""Zibeljko""",Trg Svete Marije 24,Bednja,info@zibeljko.hr,042/ 791-016,Varaždinska županija ,42253
"Dječji vrtić ""Šandrovac""",Bjelovarska 3a,Šandrovac,djecji.vrtic.sandrovac@gmail.com,"043/448 260,099/2075020",Bjelovarsko-bilogorska županija ,43000
"Dječji vrtić ""Sretna djeca""",Grana 149,Novi Marof,dv.sretnadjeca@gmail.com,091-391-9870,Varaždinska županija ,42220
TAEKWONDO KLUB  FENIKS-VUKOMEREC,SOBOLSKI PUT 2A,Zagreb,info@tkd-feniks.hr,"01/2946497, 0915671514",Grad Zagreb,10000
Dječji vrtić Palčić ,Hrvatskih dragovoljaca 5,Tovarnik,dvpalcic.tovarnik@gmail.com,032 206 868,Vukovarsko-srijemska  županija ,32249
Dječji vrtić Žabac Sveti Ivan Žabno,Trg Karla Lukaša bb,Sveti Ivan Žabno,zabac@osiz.hr,048/810250,Koprivničko-križevačka županija ,48214
Dječji vrtić Skradin,Put Križa 1A,Skradin,djecjivrticskradin@gmail.com,022/771636,Šibensko-kninska županija ,22222
"Dječji vrtić ""Suncokret Sveti Đurđ""",Ulica Ljudevita Gaja 2A,Sveti Đurđ,suncokret@sveti-djurdj.hr,042/217 721,Varaždinska županija ,42230
Dječji vrtić Bambi Sopje,Kralja Tomislava 6,Sopje,bambisopje@gmail.com,033/500-142,Virovitičko-podravska županija ,33525
"Dječji vrtić ""Kadujica""",Ulica 30. svibnja  br.12,Okrug Gornji,ravnatelj@vrtic-kadujica.hr,021/892 029,Splitsko-dalmatinska županija ,21220
Dječji vrtić Bajka Strizivojna ,Braće Radića 170,Strizivojna,ravnateljica@djecjivrticbajka.hr,098/967 6092,Osječko-baranjska županija ,31410
Dječji vrtić Sveti Križ Začretje,Trg Julija Lembergera 7,Sveti Križ Začretje,info@dvskz.hr,049/521-034,Krapinsko-zagorska županija ,49223
"DJEČJI VRTIĆ "" KRIJESNICA GRADINA "" GRADINA",Trg kralja Zvonimira 6 ,Gradina,krijesnicagradina@gmail.com,033/561-256,Virovitičko-podravska županija ,33411
Dječji vrtić Ivica i Marica,Savska 33,Štitar,ivicamaricavrtic@gmail.com,097/7311353,Vukovarsko-srijemska  županija ,32274
"Dječji vrtić ""Leptirići"" Podravske Sesvete",Trg kralja Tomislava 14,Podravske Sesvete,info@dv-leptirici.hr,048/733 146,Koprivničko-križevačka županija ,48350
Dječji vrtić Bambi Nijemci,Lovorova 2,Nijemci,dvbambinijemci@gmail.com,032 280012,Vukovarsko-srijemska  županija ,32245
"Dječji vrtić ""Lipa"" Čađavica",Kolodvorska 3a,Čađavica,djecjivrtic.lipa@gmail.com,0919795171,Virovitičko-podravska županija ,33523
Dječji vrtić Markušica,Vuka Stefanovića Karadžića 3a,Markušica,djecijivrticmarkusica@gmail.com; zorkakladusic@gmail.com,032-521-362,Vukovarsko-srijemska  županija ,32213
Dječji vrtić Maslina,Vladimira Nazora 7B,Tribunj,dvmaslina.tribunj@gmail.com,022/446-145,Šibensko-kninska županija ,22211
"Dječji vrtić ""Bambi Podcrkavlje""",Diljska 33,Podcrkavlje,bambi.podcrkavlje@gmail.com,035/221 546,Brodsko-posavska županija ,35000
"Dječji vrtić ""Hlapić"" Semeljci",Kolodvorska 2B,Semeljci,info@hlapic.semeljci.hr,031/239114,Osječko-baranjska županija ,31402
"Dječji vrtić ""Snješko""",Ivana Mažuranića 20A,Ravna Gora,dv.snjesko.rg@gmail.com,051 896-7922,Primorsko-goranska županija ,51314
Udruga Zlatni dani,Savska 33,Štitar,tina.dominkovic@gmail.com,097/7311353,Vukovarsko-srijemska  županija ,32274
Program predškole pri OŠ Franka Lisice Polača ,Polača 140,Polača,ured@os-polaca.skole.hr,023/662-166 ,Zadarska županija ,23210
Dječji vrtić Biser Lastova,Homac 5,Lastovo,ravnateljica.djecji.vrtic@lastovo.hr,"020/801–220, 0955416049",Dubrovačko-neretvanska županija ,20290
"Dječji vrtić ""DIN-DON"" Gradec",Gradec 97,Gradec,djecjivrtic.gradec@gmail.com,0981737727,Zagrebačka županija ,10340
"Dječji vrtić ""Regoč"" ",Braće Radića 15 B,Babina Greda,dvregoc.babinagreda@gmail.com,032 525 127,Vukovarsko-srijemska  županija ,32276
"Dječji vrtić ""Crvenkapica"" Farkaševac",Farkaševac 30 A,Farkaševac,crvenkapica.farkasevac@gmail.com,+38512820971,Zagrebačka županija ,10342
Dječji vrtić Privlaka,Školska 61,Privlaka,djecji.vrtic.privlaka@gmail.com,032 450 846,Vukovarsko-srijemska  županija ,32251
Dječji vrtić Mendula,Don Balda Vijalića 9A,Pirovac,info@djecjivrticmendula.hr; dvmendulap@gmail.com; ravnateljica@djecjivrticmendula.hr  ,099/537-1272    099/686-7533 ,Šibensko-kninska županija ,22213
Dječji vrtić Veliko Trojstvo ,Braće Radića 49,Veliko Trojstvo,vrtic@veliko-trojstvo.hr,043 247-561,Bjelovarsko-bilogorska županija ,43000
Dječji vrtić „Jarmina“ Jarmina ,J.J.Strossmayera 80,Jarmina,dv.jarmina@gmail.com  ,032/ 450-201,Vukovarsko-srijemska  županija ,32280
Mali svijet Gradište,Trg hrvatskih velikana 36,Gradište,vrtic.malisvijet@gmail.com,0994182577,Vukovarsko-srijemska  županija ,32273
Dječji vrtić Pčelica,Bartola Kašića 25,Mokošica,info@dv-pcelica.hr,"020 32 55 91, 099 58 99 174",Dubrovačko-neretvanska županija ,20236
Dječji vrtić Potočić Tuheljski,Tuhelj 39a,Tuhelj,potocic.tuheljski@gmail.com,049/300-927,Krapinsko-zagorska županija ,49215
DV Mačići,Mače 84 E,Mače,info@djecjivrticmacici.hr,049 249 087,Krapinsko-zagorska županija ,49251
Dječji vrtić Selnički zvončići ,Bukovčak 1C,Selnica,mtuksar@dv-selnicki-zvoncici.hr,0998412136,Međimurska županija ,40313
Dječji vrtić Ivančica-Lobor,Zagrebačka 12a,Lobor,ravnateljica@djecjivrticivancicalobor.hr,"049 419 937, 098 181 32 84    ",Krapinsko-zagorska županija ,49253
Dječji vrtić Đurmanec,Đurmanec 49A,Đurmanec, vrtic@djurmanec.hr,049 346-346,Krapinsko-zagorska županija ,49225
Dječji vrtić Školjkica i More,Marijane Radev 2,Zadar,skoljkicaimore@dv-skoljkica-more.hr,091 4578874,Zadarska županija ,23000
Dječji vrtić „Gumbek“,Stjepana Radića 77,Beletinec,djecjivrticgumbek@gmail.com,"042768004, 0953971053",Varaždinska županija ,42204
"Dječji vrtić ""Kamanje""",Kamanje 105,Kamanje,dv-kamanje@kamanje.hr,047/203-338,Karlovačka županija ,47280
Dječji vrtić Miholjček ,Mihovljan 49 D,Mihovljan,dv.miholjcek@gmail.com,049/221-031,Krapinsko-zagorska županija ,49252
"Dječji vrtić ""Jurek"" ",Novo naselje 4,Gornja Stubica,djecjivrticjurek@djecjivrticjurek.hr,049 553 084,Krapinsko-zagorska županija ,49245
Dječji vrtić Mali Petar ,Sveti Petar Orehovec 63,Sveti Petar Orehovec,djecjivrticmalipetar@gmail.com,048/621 468,Koprivničko-križevačka županija ,48267
Dječji vrtić Račići,Ljeskova 4A,Nova Rača,dvraciciraca@gmail.com,043 217523,Bjelovarsko-bilogorska županija ,43270
Dječji vrtić Budinščina,Budinščina 1K,Budinšćina,"ravnatelj@dvbudinscina.hr, administracija@dvbudinscina.hr ",049/264-068,Krapinsko-zagorska županija ,49284
Dječji vrtić Medvjedići Rugvica,Školska ulica 18,Jalševec Nartski,info@dv-medvjedici.hr,01/4641 182,Zagrebačka županija ,10370
Dječji vrtić Ljubičica,Ulica Petra Zoranića 4,Jasenice,pedagoginja@djecji-vrtic-ljubicica.hr; ravnateljica@djecji-vrtic-ljubicica.hr,023 657 692,Zadarska županija ,23243
Dječji vrtić ''Krijesnica Gorjani'',Bolokan 1,Gorjani, krijesnica.gorjani@gmail.com,031206075,Osječko-baranjska županija ,31422
Društvo sportske rekreacije START FUN,Kašinska cesta 143/e,Sesvete,marasf1205@gmail.com,Mara Barišić 095/5491371,Grad Zagreb,10360
Udruga Vesela Vidra,Badalićeva 11/2      ,Zagreb,veselavidra.sport@gmail.com,"091/5271792, 091/5271792    ",Grad Zagreb,10000
DV Zvončica Punitovci,Stjepana Radića 58B          ,Punitovci,zvoncica@punitovci.hr  ,031/625-402 ,Osječko-baranjska županija ,31422
Institut za STEM edukaciju i afterschool programe,Vrhovčev vijenac 56,Zagreb,info@stemuvrticu.com; info@stemzasve.eu,  092/2092 794,Grad Zagreb,10000
Dječji vrtić Maslačak ,Vržine 201A,Primorski Dolac,djecji.vrtic.maslacak@st.ht.hr,021/355 059,Splitsko-dalmatinska županija ,21201
Dječji vrtić Mali medo,Ulica Jablanova 3,Gornja Rijeka,malimedo@gornja-rijeka.hr,048 621 591,Koprivničko-križevačka županija ,48268
Dječji vrtić Školjić ,Mile Čuline 10 ,Pridraga,info@djecjivrticskoljic.hr,023654026,Zadarska županija ,23312
Dječji vrtić Mali princ ,Zagrebačka 48,Pazin,maliprinc.montessori@gmail.com,091 301 7553,Istarska županija ,52000
Glazbena udruga Musica ,Kralja Petra Svačića 23,Kaštel Lukšić,,098/357386,Splitsko-dalmatinska županija ,21214
"Univerzalna sportska škola ""Olimpići""",Gundulićeva 60 ,Zagreb,dalibor@olimpici.net, 014856851; 098 9424186     ,Grad Zagreb,10000
"Udruga sportske rekreacije ""SM SPORT""",Bukovačka cesta 142,Zagreb,info@smsport.hr,098 9123 067   ,Grad Zagreb,10000
DV BAMBINI,Domovinskog rata 22       ,Podstrana,info@djecjivrticbambini.com  ,"021690062,  0918992017",Splitsko-dalmatinska županija ,21311
Dječji vrtić Pčelica Žakanje,Žakanje 59/D,Žakanje,dv.pcelica@opcina-zakanje.hr,047/418126,Karlovačka županija ,47276
DJEČJI VRTIĆ EMAUS,Kneza Trpimira 38        ,Trogir,dv-emaus@smn.hr,"021 645 547, 098 716 542      ",Splitsko-dalmatinska županija ,21220
Likovno udruženje Čakovec,Stjepana Radića 1,Čakovec,likovno.udruzenje.cakovec@gmail.com,091/1313988   ,Međimurska županija ,40000
Dječji vrtić Zvončić Čepin,Ulica grada Vukovara 2,Čepin,dvzc@dvzc.hr,031 270 083,Osječko-baranjska županija ,31431
Sportska udruga Surfići,Ul. kardinala Alojzija Stepinca 36         ,Zaprešić,saic.filip@gmail.com,"097 7255 777, ",Zagrebačka županija ,10290
"Gradska knjižnica ""Ivan Goran Kovačić"" ",Ljudevita Šestića 1,Karlovac,info@gkk.hr,047 412 377,Karlovačka županija ,47000
"Uduga Taekwondo klub ""Champion""",Belinin put 13,Zagreb,tkdklub.champion@gmail.com,,Grad Zagreb,10000
Sportsko rekreativna udruga Sportix,Podbrežje V.10,Zagreb,boiv55@gmail.com,,Grad Zagreb,10000
"Udruga za edukaciju i promicanje glazbene kulture ""Glazboljupci"" ",Koste Vojnovićeva 40,Zagreb,glazboljupci@gmail.com,,Grad Zagreb,10000
"Dječji vrtić ""Dežanovac""",Dežanovac 288/1,Dežanovac,dvdezanovac@gmail.com,0437800493,Bjelovarsko-bilogorska županija ,43500
Dječji vrtić „Lađica“,Ulica bana Josipa Jelačića 26,Davor,vrtic-ladica@davor.hr,99 737 5099,Brodsko-posavska županija ,35425
Udruga Edukacijski centar Lemur ,Prilaz baruna Filipovića 13,Zagreb,lemurples@gmail.com; ivana.balic1@gmail.com,091 1887 0020,Grad Zagreb,10000
"Udruga za promicanje talijanskog jezika i kulture ""Parla"" ",Sveti Vinko Paulski 13,Zadar,udrugaparla@gmail.com,,Zadarska županija ,23000
Dječji vrtić Dječji dvori,Ulica kardinala Alojzija Stepinca 43,Zaprešić,djecji.dvori@gmail.com ,0989255916,Zagrebačka županija ,10290
Dječji vrtić Vesela kućica,Čučerska cesta 183,Zagreb,ured@vrticveselakucica.hr,095/906-1432,Grad Zagreb,10000
"EduKids, obrt za poduke i ostale usluge",Veliki kraj 88        ,Županja,leutar.mateja996@gmail.com,0996993875  ,Vukovarsko-srijemska  županija ,32270
Udruga ABACUS HRVATSKA ,Odranski vijenac 17,Zagreb,tatjana.tomec@abacus-hrvatska.hr,01/2035-585,Grad Zagreb,10000
Littera d.o.o.,Ulica sv. Ane 28       ,Samobor,info@littera.hr,01 33 63 170; 091 33 63 170   ,Zagrebačka županija ,10430
Dječji vrtić Jesenje,Gornje Jesenje 78A,Gornje Jesenje,dvjesenje@gmail.com; info@dvjesenje.hr,"049/209-338, 091 602 4641",Krapinsko-zagorska županija ,49225
Dječji vrtić Dugopoljski maslačak,Ulica 4. gardijske brigade 6,Dugopolje,info@dvdm.hr,"021 470 075,  098 9657675     ",Splitsko-dalmatinska županija ,21204
"Dječji vrtić ""Smajlić"" ",Ulica XIV. 3A,Galovac,dv.smajlic@gmail.com,023/660-008,Zadarska županija ,23222
Dječji vrtić „Roda Ruščica“,Školska ulica 4,Ruščica,info@dv-roda-ruscica.hr,035 323370,Brodsko-posavska županija ,35000
"Dječji vrtić ""Mura"" ",Školska 16A,Goričan,opcina@gorican.hr ; vrtic@gorican.hr,040 601-642; 040 601-192,Međimurska županija ,40320
Program predškole pri Osnovnoj školi Mljet ,Sršenovići 42,Babino Polje,ured@os-mljet-babinopolje.skole.hr,020 745018,Dubrovačko-neretvanska županija ,20225
Taekwondo klub Jastreb,Švarcova 2,Zagreb,,091 4433 440 ,Grad Zagreb,10000
